Rank,Total UFO Sightings,County,State,Population,"UFO Sightings/100,000 People"
1,118,los angeles county,ca,9893481,1.19
2,111,maricopa county,az,3889161,2.85
3,66,king county,wa,1974567,3.34
4,62,san diego county,ca,3138265,1.98
5,56,palm beach county,fl,1339221,4.18
6,56,horry county,sc,276688,20.24
7,50,franklin county,oh,1181824,4.23
8,48,orange county,ca,3051771,1.57
9,46,sacramento county,ca,1435207,3.21
10,42,cook county,il,5212372,0.81
11,40,lee county,fl,633968,6.31
12,38,riverside county,ca,2228528,1.71
13,38,orange county,fl,1175416,3.23
14,37,new haven county,ct,862611,4.29
15,34,pinellas county,fl,920015,3.7
16,33,allegheny county,pa,1226933,2.69
17,31,broward county,fl,1784889,1.74
18,31,multnomah county,or,747641,4.15
19,30,bernalillo county,nm,667092,4.5
20,29,snohomish county,wa,724627,4.0
