state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county
fl,chevron,5,5 seconds,28.0777778,-82.76388890000001,10,10,02:32,2013,palm harbor,pinellas county
mo,light,10800,2-3 hours,38.6272222,-90.1977778,10,10,17:00,2013,st. louis county,st. louis county
oh,light,60,1 minute,40.9780556,-81.7822222,10,10,19:00,2013,rittman,wayne county
vt,light,120,2 minutes,44.4905556,-73.11138890000001,10,10,19:20,2013,essex junction,chittenden county
la,circle,600,10 minutes,29.9938889,-90.2416667,10,10,19:20,2013,kenner,jefferson parish
oh,circle,300,5 minutes,39.7463889,-84.2866667,10,10,20:00,2013,drexel,montgomery county
nh,light,5,5 seconds,42.7647222,-71.44027779999999,10,10,20:00,2013,hudson,hillsborough county
mi,light,1200,20 minutes,42.9275000,-83.63,10,10,20:30,2013,grand blanc,genesee county
mn,circle,60,1 minute,44.7791667,-93.3361111,10,10,20:30,2013,savage,scott county
mi,sphere,45,45 seconds,42.4775000,-83.0277778,10,10,20:32,2013,warren,macomb county
mi,triangle,180,3 minutes,42.3086111,-83.48222220000001,10,10,20:35,2013,canton,wayne county
wv,triangle,45,45 seconds,39.1611111,-80.3522222,10,10,21:17,2013,lost creek,harrison county
nh,light,1,1 second,42.7647222,-71.44027779999999,10,10,21:30,2013,hudson,hillsborough county
mi,chevron,4,4 seconds,43.4194444,-83.9508333,10,11,01:00,2013,saginaw,saginaw county
ia,circle,120,2 minutes,41.7297222,-93.6055556,10,11,06:13,2013,ankeny,polk county
fl,light,15,10-15 seconds,26.8230556,-80.13888890000001,10,11,09:05,2013,palm beach gardens,palm beach county
mi,fireball,600,~10 minutes,42.2916667,-85.58722220000001,10,11,16:35,2013,kalamazoo,kalamazoo county
ks,unknown,240,2-4 minutes,38.9716667,-95.235,10,11,19:00,2013,lawrence,douglas county
vt,light,60,60 seconds,44.4905556,-73.11138890000001,10,11,19:50,2013,essex junction,chittenden county
oh,circle,300,4-5 minutes,39.1619444,-84.4569444,10,11,20:00,2013,cincinnati,hamilton county
oh,fireball,240,4 minutes,39.1619444,-84.4569444,10,11,20:00,2013,cincinnati,hamilton county
fl,light,7200,few hours,26.1416667,-81.795,10,11,20:00,2013,naples,collier county
oh,fireball,60,1 minute,39.1619444,-84.4569444,10,11,20:15,2013,cincinnati,hamilton county
ky,fireball,300,5 minutes,38.9458333,-84.6805556,10,11,20:15,2013,union,boone county
ma,fireball,60,1 minute,42.4736111,-72.0066667,10,11,20:20,2013,hubbardston,worcester county
ga,light,300,5 minutes,33.5966667,-83.86027779999999,10,11,20:45,2013,covington,newton county
oh,sphere,180,3 minutes,39.7463889,-84.2866667,10,11,21:00,2013,drexel,montgomery county
ny,chevron,90,90 seconds,43.0297222,-76.0047222,10,11,21:00,2013,fayetteville,onondaga county
fl,light,900,15 minutes,26.9338889,-80.0944444,10,11,22:00,2013,jupiter,palm beach county
fl,sphere,300,5 minutes,28.0833333,-80.6083333,10,11,22:00,2013,melbourne,brevard county
wi,sphere,60,1 minutes,45.3561111,-92.6333333,10,11,22:08,2013,dresser,polk county
il,formation,60,1 minute,41.8800000,-88.0077778,10,11,22:10,2013,lombard,dupage county
oh,fireball,10,10 seconds,40.8758333,-81.4025,10,11,23:00,2013,north canton,stark county
mi,fireball,2,2 seconds,42.4566667,-83.9463889,10,11,23:15,2013,pinckney,livingston county
co,triangle,5400,90 minutes,38.8338889,-104.8208333,10,1,03:00,2013,colorado springs,el paso county
