Unemployment_rate_2013,Median_Household_Income_2018,state,county
7.4,"61,937",us,united states
7.2,"49,881",al,alabama
6.2,"59,338",al,autauga county
6.6,"57,588",al,baldwin county
10.2,"34,382",al,barbour county
7.9,"46,064",al,bibb county
6.3,"50,412",al,blount county
9.4,"29,267",al,bullock county
10.3,"37,365",al,butler county
8.8,"45,400",al,calhoun county
8.0,"39,917",al,chambers county
6.6,"42,132",al,cherokee county
6.6,"47,547",al,chilton county
9.2,"39,907",al,choctaw county
13.8,"40,741",al,clarke county
8.3,"39,201",al,clay county
7.7,"46,495",al,cleburne county
6.9,"55,122",al,coffee county
8.2,"49,055",al,colbert county
10.7,"32,613",al,conecuh county
9.2,"42,423",al,coosa county
8.1,"40,203",al,covington county
7.7,"39,057",al,crenshaw county
6.7,"45,796",al,cullman county
7.4,"45,309",al,dale county
12.2,"34,035",al,dallas county
7.6,"39,491",al,dekalb county
6.2,"60,367",al,elmore county
8.6,"38,418",al,escambia county
7.6,"44,903",al,etowah county
8.3,"39,254",al,fayette county
8.0,"39,388",al,franklin county
7.0,"37,823",al,geneva county
12.8,"28,524",al,greene county
11.6,"34,724",al,hale county
7.7,"46,027",al,henry county
6.9,"47,993",al,houston county
7.9,"41,929",al,jackson county
6.7,"55,013",al,jefferson county
7.0,"40,936",al,lamar county
7.1,"48,707",al,lauderdale county
8.3,"43,909",al,lawrence county
5.9,"48,937",al,lee county
6.3,"64,863",al,limestone county
14.1,"33,973",al,lowndes county
9.6,"32,495",al,macon county
6.3,"63,755",al,madison county
8.9,"37,733",al,marengo county
7.9,"37,887",al,marion county
6.8,"46,233",al,marshall county
8.5,"43,598",al,mobile county
11.9,"39,556",al,monroe county
7.3,"49,640",al,montgomery county
6.9,"52,797",al,morgan county
13.5,"26,814",al,perry county
9.3,"37,586",al,pickens county
7.6,"37,259",al,pike county
7.8,"40,546",al,randolph county
7.2,"39,104",al,russell county
6.1,"57,284",al,st. clair county
4.6,"75,663",al,shelby county
9.0,"27,859",al,sumter county
8.6,"41,630",al,talladega county
8.1,"42,205",al,tallapoosa county
6.4,"52,557",al,tuscaloosa county
8.5,"45,434",al,walker county
10.9,"44,424",al,washington county
19.3,"25,385",al,wilcox county
9.4,"41,156",al,winston county
7.0,"74,912",ak,alaska
6.0,"70,081",ak,aleutians east borough
6.9,"82,633",ak,aleutians west census area
5.2,"82,113",ak,anchorage borough/municipality
16.2,"44,304",ak,bethel census area
8.8,"77,257",ak,bristol bay borough
12.5,"75,477",ak,denali borough
10.2,"54,524",ak,dillingham census area
5.9,"74,268",ak,fairbanks north star borough
10.2,"58,943",ak,haines borough
14.7,"51,188",ak,hoonah-angoon census area
5.0,"79,173",ak,juneau borough/city
8.0,"65,439",ak,kenai peninsula borough
7.8,"68,309",ak,ketchikan gateway borough
6.2,"74,109",ak,kodiak island borough
23.7,"32,728",ak,kusilvak census area
15.5,"49,403",ak,lake and peninsula borough
8.4,"74,649",ak,matanuska-susitna borough
12.3,"55,318",ak,nome census area
7.4,"89,276",ak,north slope borough
16.4,"59,337",ak,northwest arctic borough
8.7,"66,075",ak,petersburg borough
12.2,"49,356",ak,prince of wales-hyder census area
,,ak,prince of wales-outer ketchikan census area
5.5,"71,825",ak,sitka borough/city
12.5,"74,635",ak,skagway municipality
,,ak,skagway-hoonah-angoon census area
13.1,"63,527",ak,southeast fairbanks census area
9.9,"68,528",ak,valdez-cordova census area
8.0,"57,832",ak,wrangell borough/city
,,ak,wrangell-petersburg census area
9.5,"59,523",ak,yakutat borough/city
18.3,"38,912",ak,yukon-koyukuk census area
7.7,"59,079",az,arizona
18.4,"33,652",az,apache county
9.2,"49,164",az,cochise county
8.1,"60,187",az,coconino county
9.6,"43,585",az,gila county
7.7,"50,157",az,graham county
5.9,"65,818",az,greenlee county
8.2,"37,350",az,la paz county
