state,shape,duration (seconds),duration (hours/min),latitude,longitude,Month,Day,Time,Year,City2,county,Unemployment_rate_2013,Median_Household_Income_2018
fl,chevron,5.0,5 seconds,28.0777778,-82.76388890000001,10,10,02:32,2013,palm harbor,pinellas county,6.6,"52,226"
mo,light,10800.0,2-3 hours,38.6272222,-90.1977778,10,10,17:00,2013,st. louis county,st. louis county,6.2,"66,992"
oh,light,60.0,1 minute,40.97805560000001,-81.7822222,10,10,19:00,2013,rittman,wayne county,6.2,"59,142"
vt,light,120.0,2 minutes,44.49055560000001,-73.11138890000002,10,10,19:20,2013,essex junction,chittenden county,3.4,"74,240"
la,circle,600.0,10 minutes,29.9938889,-90.2416667,10,10,19:20,2013,kenner,jefferson parish,6.3,"50,871"
oh,circle,300.0,5 minutes,39.7463889,-84.2866667,10,10,20:00,2013,drexel,montgomery county,8.3,"51,071"
nh,light,5.0,5 seconds,42.7647222,-71.44027779999998,10,10,20:00,2013,hudson,hillsborough county,5.4,"78,714"
mi,light,1200.0,20 minutes,42.9275,-83.63,10,10,20:30,2013,grand blanc,genesee county,9.7,"48,370"
mn,circle,60.0,1 minute,44.77916670000001,-93.3361111,10,10,20:30,2013,savage,scott county,4.4,"101,427"
mi,sphere,45.0,45 seconds,42.4775,-83.0277778,10,10,20:32,2013,warren,macomb county,9.5,"62,191"
mi,triangle,180.0,3 minutes,42.3086111,-83.48222220000002,10,10,20:35,2013,canton,wayne county,11.5,"46,440"
wv,triangle,45.0,45 seconds,39.16111110000001,-80.3522222,10,10,21:17,2013,lost creek,harrison county,5.6,"47,942"
nh,light,1.0,1 second,42.7647222,-71.44027779999998,10,10,21:30,2013,hudson,hillsborough county,5.4,"78,714"
mi,chevron,4.0,4 seconds,43.4194444,-83.9508333,10,11,01:00,2013,saginaw,saginaw county,9.0,"48,805"
ia,circle,120.0,2 minutes,41.7297222,-93.6055556,10,11,06:13,2013,ankeny,polk county,4.8,"68,479"
fl,light,15.0,10-15 seconds,26.823055600000004,-80.13888890000001,10,11,09:05,2013,palm beach gardens,palm beach county,7.1,"61,735"
mi,fireball,600.0,~10 minutes,42.2916667,-85.58722220000001,10,11,16:35,2013,kalamazoo,kalamazoo county,6.9,"55,881"
ks,unknown,240.0,2-4 minutes,38.9716667,-95.235,10,11,19:00,2013,lawrence,douglas county,4.8,"57,120"
vt,light,60.0,60 seconds,44.49055560000001,-73.11138890000002,10,11,19:50,2013,essex junction,chittenden county,3.4,"74,240"
oh,circle,300.0,4-5 minutes,39.1619444,-84.4569444,10,11,20:00,2013,cincinnati,hamilton county,7.3,"57,300"
oh,fireball,240.0,4 minutes,39.1619444,-84.4569444,10,11,20:00,2013,cincinnati,hamilton county,7.3,"57,300"
fl,light,7200.0,few hours,26.1416667,-81.795,10,11,20:00,2013,naples,collier county,7.1,"70,649"
oh,fireball,60.0,1 minute,39.1619444,-84.4569444,10,11,20:15,2013,cincinnati,hamilton county,7.3,"57,300"
ky,fireball,300.0,5 minutes,38.9458333,-84.6805556,10,11,20:15,2013,union,boone county,6.6,"77,696"
ma,fireball,60.0,1 minute,42.47361110000001,-72.0066667,10,11,20:20,2013,hubbardston,worcester county,7.2,"71,767"
ga,light,300.0,5 minutes,33.5966667,-83.86027779999998,10,11,20:45,2013,covington,newton county,9.7,"56,598"
oh,sphere,180.0,3 minutes,39.7463889,-84.2866667,10,11,21:00,2013,drexel,montgomery county,8.3,"51,071"
ny,chevron,90.0,90 seconds,43.0297222,-76.0047222,10,11,21:00,2013,fayetteville,onondaga county,6.8,"59,786"
fl,light,900.0,15 minutes,26.9338889,-80.0944444,10,11,22:00,2013,jupiter,palm beach county,7.1,"61,735"
fl,sphere,300.0,5 minutes,28.0833333,-80.6083333,10,11,22:00,2013,melbourne,brevard county,8.3,"57,612"
wi,sphere,60.0,1 minutes,45.35611110000001,-92.6333333,10,11,22:08,2013,dresser,polk county,7.1,"59,990"
