state,county,UFO_sightings,Population,Median Age,Median Household Income,percent female,percent HS,percent AF,UFO_percapita
ak,anchorage borough/municipality,12,295237.0,32.8,77454.0,49.1225693256604,14.5964089866785,2.9616884062634425,4.0645312071318976e-05
ak,bethel census area,1,17356.0,26.2,51689.0,47.654989628946765,21.32979949297073,0.011523392486748099,5.761696243374049e-05
ak,fairbanks north star borough,14,98656.0,30.7,69223.0,47.022988971780734,15.436466104443724,5.696561790463834,0.00014190723321440155
ak,hoonah-angoon census area,1,2141.0,46.4,49545.0,47.17421765530126,21.578701541335825,0.0,0.00046707146193367583
ak,kenai peninsula borough,1,56163.0,40.7,61793.0,47.52417071737621,21.583604864412514,0.21544433167743887,1.7805316667556933e-05
ak,ketchikan gateway borough,1,13595.0,38.7,62519.0,48.032364840014715,22.47149687385068,1.6991541007723427,7.35564545788893e-05
ak,kodiak island borough,2,13850.0,31.9,68718.0,45.87003610108303,15.862815884476532,5.631768953068592,0.0001444043321299639
ak,matanuska-susitna borough,10,91519.0,34.7,71037.0,48.165954610518035,19.809001409543374,0.41302898851604586,0.0001092669281788481
ak,southeast fairbanks census area,1,7047.0,35.9,56801.0,45.02625230594579,19.568610756350218,2.7955158223357457,0.00014190435646374344
al,autauga county,2,54907.0,37.5,53682.0,51.20294315843152,22.23942302438669,1.2439215400586445,3.642522811299106e-05
al,baldwin county,11,187114.0,41.5,50221.0,51.14582553951067,20.2694613978644,0.15124469574697777,5.878769092638712e-05
al,barbour county,1,27321.0,38.3,32911.0,46.436806851872184,22.85787489476959,0.0,3.6601881336700707e-05
al,blount county,3,57623.0,39.6,44145.0,50.36009926591812,23.36393454002742,0.04338545372507506,5.206254447009007e-05
al,calhoun county,1,117714.0,38.7,39962.0,51.76614506345889,21.973597023293745,0.24551030463666174,8.49516625040352e-06
al,coosa county,2,11198.0,44.7,37277.0,49.36595820682265,31.005536702982678,0.0,0.0001786033220217896
al,crenshaw county,1,13955.0,40.6,36275.0,51.48692225008957,25.93335721963454,0.19347903977069153,7.165890361877464e-05
al,cullman county,1,80499.0,40.4,38847.0,50.49752170834421,21.69840619138126,0.02608728058733649,1.2422514565398328e-05
al,escambia county,2,38169.0,39.4,30687.0,48.376955120647644,25.049123634362964,0.4637271083863868,5.239854332049569e-05
al,hale county,1,15594.0,40.7,30051.0,52.52661279979479,27.69654995511094,0.057714505579068875,6.412722842118764e-05
al,houston county,1,102326.0,38.6,40948.0,52.03858256943494,22.909133553544553,0.29024881261849383,9.772687293551982e-06
al,jefferson county,7,658552.0,37.2,45429.0,52.66190065476985,17.801935154703045,0.0967273654927781,1.0629380823382209e-05
al,lauderdale county,1,92666.0,40.8,42844.0,52.025554140677265,23.212397211490728,0.038849200353959376,1.0791444542766495e-05
al,lee county,1,144405.0,29.9,43542.0,50.51210138153112,15.179529794674702,0.7305841210484401,6.924967972023129e-06
al,limestone county,2,85264.0,38.5,48619.0,49.494511165321825,21.090964533683618,0.29672546443985737,2.3456558453743668e-05
al,madison county,14,339279.0,37.4,58434.0,50.979872022730554,14.233418513966381,0.4765989053257054,4.126397448707406e-05
al,marion county,1,30615.0,43.5,32888.0,50.21394741139964,25.2588600359301,0.0653274538624857,3.266372693124286e-05
al,marshall county,1,93699.0,38.4,39526.0,50.761480912282956,21.593613592460965,0.050160620711000116,1.0672472491702153e-05
al,mobile county,3,413188.0,36.7,43028.0,52.023292060756845,21.53934770612893,0.2463769518959892,7.260617442907345e-06
al,randolph county,3,22819.0,41.5,35213.0,51.150357158508264,24.92659625750471,0.08764625969586748,0.0001314693895438012
al,shelby county,5,198366.0,37.3,68770.0,51.18316647006039,14.302854319792708,0.07914662795035439,2.5205932468265732e-05
al,st. clair county,1,84521.0,38.9,50786.0,49.975745672673064,24.078039777096816,0.14552596396161901,1.1831379183871463e-05
al,talladega county,1,81845.0,40.0,35439.0,51.35561121632354,25.493310525994257,0.0659783737552691,1.2218217362086872e-05
al,tuscaloosa county,2,196824.0,31.4,45408.0,51.633947079624434,18.434743730439376,0.030484087306426044,1.0161362435475349e-05
ar,baxter county,3,41281.0,50.9,35343.0,51.90039000993193,27.882076500084786,0.08236234587340423,7.267265812359197e-05
ar,benton county,1,227439.0,34.7,54515.0,50.60873464973026,19.95348203254499,0.20269171074441938,4.396783313327969e-06
ar,carroll county,1,27531.0,44.2,36584.0,50.67015364498202,26.65722276706258,0.0,3.6322690784933346e-05
ar,craighead county,2,98398.0,33.1,41393.0,51.21242301672798,21.122380536189763,0.0,2.0325616374316552e-05
ar,crawford county,2,61796.0,38.3,39479.0,51.02919282801476,24.77182989190239,0.01618227717004337,3.2364554340086736e-05
ar,crittenden county,1,50447.0,34.4,37751.0,52.53632525224493,21.735682994033343,0.07730885880230737,1.9822784308283942e-05
ar,dallas county,1,8045.0,43.0,28931.0,49.633312616532,36.556867619639526,0.1740211311373524,0.0001243008079552517
ar,drew county,1,18686.0,37.4,31171.0,51.62153483891684,23.05469335331264,0.0,5.351600128438403e-05
ar,faulkner county,7,115928.0,31.4,50314.0,50.902284176385336,18.605513767165828,0.2872472569180871,6.0382306259057345e-05
ar,franklin county,1,18063.0,40.9,36766.0,50.87194818136523,26.47400763992692,0.27680894646514975,5.536178929302995e-05
ar,garland county,1,96547.0,44.2,39162.0,51.785140915823376,22.788900742643477,0.02382259417692937,1.0357649642143205e-05
ar,johnson county,4,25655.0,38.6,31003.0,50.59052816215163,28.068602611576694,0.01559150263106607,0.0001559150263106607
ar,lafayette county,1,7501.0,43.7,29732.0,51.366484468737504,31.115851219837353,0.0,0.0001333155579256099
ar,lawrence county,2,17227.0,40.6,32239.0,51.036164160910204,29.03001102919835,0.02321936495036861,0.00011609682475184304
ar,logan county,1,22221.0,41.9,34996.0,50.52427883533595,28.563070968903293,0.22501237568066246,4.5002475136132486e-05
ar,pulaski county,2,386106.0,36.0,46013.0,51.99919193174931,18.452704697673695,0.7497940979938151,5.179924683895096e-06
ar,randolph county,1,17896.0,41.7,34418.0,51.30755476084041,26.16227089852481,0.0,5.587840858292356e-05
ar,saline county,3,109844.0,38.8,55348.0,50.70099413713994,23.990386366119225,0.07100979571028003,2.7311459888569243e-05
ar,searcy county,1,8101.0,46.6,30779.0,50.3888408838415,26.725095667201582,0.0,0.00012344155042587335
ar,sebastian county,2,126536.0,36.9,40471.0,50.9965543402668,20.523803502560536,0.186508187393311,1.5805778592653473e-05
ar,washington county,8,207911.0,31.2,41248.0,49.956471759550965,16.93464992232253,0.033187277248438035,3.847800260688468e-05
ar,yell county,1,22014.0,39.6,35535.0,50.317979467611515,28.404651585354774,0.013627691469065142,4.5425638230217136e-05
az,apache county,1,71978.0,32.7,31476.0,50.094473311289555,18.86131873628053,0.004167940203951208,1.389313401317069e-05
az,cochise county,1,131038.0,39.8,45755.0,48.89497702956394,16.394480990247104,3.2044139867824604,7.631374105221385e-06
az,coconino county,8,134795.0,31.0,49555.0,50.41284914128862,13.03905931228903,0.06231685151526392,5.934938239548945e-05
